,X,z,z_cat,y_c,y_k,y_r,prd_c,prd,ek_n,er_n,ek,er,ec_k,ec_r,s,blk_d,clay,silt,sand,d10,d50,d90,sp13,sp23,sp33,X0.45um,X0.95um,X15.1um,X209um,X955um,X955.um,m0.2um,m0.6um,m4.3um,m79um,m275um,m1260um,hr_cs,h_3,hrel_3,h_6,hrel_6,hrel_t,tn,oc,cn,nc,d13c,d15n,d13ci,d15ni,cs_um,oc_p,nc_p,d13c_p,d15n_p,oc_r,nc_r,d13c_r,d15n_r,cs_um_p,m4.3_p,m79_p,m275_p,m1260_p,cs_um_r,m4.3_r,m79_r,m275_r,m1260_r,sv,cv,plot_e,log_slt,d13c_w,d18o_w,rci_i,climate,r0.2um,r0.6um,r79um,r275um,r1260um
1,1,0,0-200,2013,,,1900-present,ofp,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.750512121,26.192011,72.483712,1.324275,2.21,6.81,21.85,0.00416015,0.80395547,0.19188436,0,0.00416015,0.80395547,0.18299384,0.00442,0.00447052,0,0,5.238673,0.128323,0,0.108252,0.58384819,0.743007724,0.46878568,0.803823729,0.310961466,0.744702054,0.167274105,2.014160392,14.04792327,0.071184899,-27.84310112,1.297473617,-27.84310112,1.297473617,0,2.175581511,0.072163303,-27.17385738,2.013642904,-0.307996444,-0.118254553,-1.086414736,-2.151583484,-0.01979534,4.817161411,0.365957714,0.138415014,0.128337858,0.107376521,0.502453255,-0.371556618,-0.237014375,-0.089080189,0.403609869,0.308144897,,,,,,Historical,0,0,0.542419951,0,0.457580049
2,2,1,0-200,2010,,,1900-present,ofp,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.732524242,24.757222,71.012426,4.23035,2.19,7.48,28.14,0.00749432,0.75056671,0.24193895,0,0.00749432,0.75056671,0.21676104,0.0162391,0.00893881,0,0,4.704042,0.276559,0.094841,0.222471,0.65765827,0.858923226,0.541920219,0.999107955,0.386507717,0.779721677,0.265947698,3.142423783,13.78527097,0.072541193,-29.23201731,1.302138832,-29.23201731,1.302138832,0,2.403543414,0.069798011,-28.39869008,1.923837147,2.202646978,0.460780481,-0.878308281,-1.192149221,0.060879816,4.771201312,0.482479466,0.068489307,0.161571558,-0.374439946,-0.363012296,-0.079325772,0.536498874,0.278377917,0.318355595,0.256338422,,,,,,Historical,0,0,0.465688676,0.159699665,0.374611658
3,3,2,0-200,2008,,,1900-present,ofp,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.764645455,23.369901,75.601497,1.028601,2.26,7.8,25.6,0.00745268,0.74915595,0.24339136,0,0.00745268,0.74915595,0.24339136,0,0,0,0,4.526292,0.282461,0,0,0.544564194,0.861010392,0.543237074,0.861010386,0.333084285,0.751598634,0.207171911,2.469174277,13.90489331,0.071917129,-28.72558918,1.737730584,-28.72558918,1.737730584,0,2.296781646,0.069066075,-27.47020545,1.949800659,-0.853458015,0.2012526,-1.533856497,0.015333362,0.021478502,4.94953835,0.384942451,0.111448723,0.11532591,-0.026344438,-0.530359669,0.101868619,-0.48721687,-0.535554126,0.3490561,0.288297358,,,,,,Historical,0,0,1,0,0
4,4,3,0-200,2005,,,1900-present,ofp,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.750190909,22.489859,76.673868,0.836273,2.4,7.53,22.78,0.00408513,0.78328604,0.21262883,0,0.00408513,0.78328604,0.21262883,0,0,0,0,4.851526,0.185753,0,0,0.527240048,0.783364229,0.4942478,0.783364229,0.303046651,0.737375456,0.196208107,2.297355394,13.66023045,0.073205207,-28.07675948,1.592031615,-28.07675948,1.592031615,0,2.19702563,0.070382681,-27.01052712,1.984942189,-0.043063129,0.189246495,-0.642893669,-1.022398773,0.012338423,4.976115042,0.354600105,0.112058913,0.124402563,-0.036162996,0.104224097,-0.213993539,-0.050226681,-0.511299605,0.250130658,0.228663814,,0.074013952,,,,Historical,0,0,1,0,0
5,5,4,0-200,2002,,1997,1900-present,ofp,No-Event,1996 A.D.,0,28,n_evnt,evnt,1,0.595527273,23.894591,75.205742,0.899667,2.27,7.44,23.5,0.00569085,0.77519622,0.21911293,0,0.00569085,0.77519622,0.21911293,0,0,0,0,4.792866,0.215224,0,0,0.544988447,0.80713149,0.509243272,0.80713149,0.312241083,0.744492264,0.245281974,2.745074167,13.05675455,0.076588711,-29.31625486,1.517476289,-29.31625486,1.517476289,0,2.296284088,0.06776091,-27.29624419,1.955107041,0.988561535,1.041917557,-2.799044258,-0.963548495,0.068243553,5.028390677,0.355716838,0.079928839,0.142942584,-0.365921882,-0.238853586,-0.043290588,0.067966804,-0.590475169,0.354583486,0.2954238,1,-0.248909684,,,0.016666667,Historical,0,0,1,0,0
6,6,5,0-200,2000,,1997,1900-present,ofp,No-Event,1996 A.D.,0,28,n_evnt,evnt,0.875,0.71999697,19.701279,79.354369,0.944351,2.57,8.47,26.16,0.00313488,0.73645664,0.26040847,0,0.00313488,0.73645664,0.26040847,0,0,0,0,4.339915,0.257349,0,0,0.498427584,0.856584893,0.540444895,0.856584887,0.331372268,0.741659965,0.143244945,1.93153494,15.73149706,0.063566741,-28.14695744,1.736426117,-28.14695744,1.736426117,0,2.250590695,0.067094636,-27.16281659,1.964351516,-1.618637608,-1.151533519,0.44441136,-0.241307685,-0.063176133,4.66400634,0.448584748,0.176815195,0.083284459,0.462901425,-0.287321071,-0.202986306,-0.384979358,-0.318188331,0.468077768,0.359867677,1,-0.045007971,,,0.014084507,Historical,0,0,1,0,0
7,7,6,0-200,1997,1997,1997,1900-present,ofp,1996 A.D.,1996 A.D.,23,28,evnt,evnt,0.75,0.670369697,46.698384,52.418375,0.883241,0.75,4.24,19.42,0.12471683,0.72767106,0.14761211,0.06909234,0.05562449,0.72767106,0.14761211,0,0,0.563133,0.741301,4.223577,0.199373,0,0,0.669879871,1.115725514,0.703944423,1.239391197,0.479461964,0.830047305,0.181703792,1.954637788,12.55015501,0.079680291,-26.98668547,2.146530584,-26.98668547,2.146530584,1.304434,2.137552249,0.081424326,-27.52474395,2.345978146,0.086893411,0.013485666,2.273627599,-0.384500024,0.160288176,4.902227659,0.510958676,0.186606173,0.053383731,6.358827913,-0.710765002,-0.391480081,-0.111607263,-0.207011662,0.449803849,0.349757396,1,-0.430585816,,,0.012987013,Historical,0.374471591,0.492949561,0.132578848,0,0
8,8,7,0-200,1997,1997,1997,1900-present,ofp,1996 A.D.,1996 A.D.,23,28,evnt,evnt,0.625,0.740233333,39.353809,60.378704,0.267483,1.93,4.73,18.47,0.00043009,0.86643009,0.13313978,0,0.00043009,0.86643009,0.13313978,0,0,0,0,6.796007,0.074993,0,0,0.625772178,0.571328052,0.360467867,0.571328017,0.221019847,0.723235274,0.159028754,1.696362573,12.44485428,0.080354497,-25.68902607,2.668317526,-25.68902607,2.668317526,0,1.893489222,0.078593155,-26.88793201,2.229961841,-0.189730429,0.378251547,1.775462792,1.628216498,0.142575741,5.154949883,0.448633643,0.18726556,0.025112261,-2.587698129,2.66228955,-0.3367943,-0.082787134,-0.09216914,0.19046516,0.432733605,1,-0.430585816,,,0.012987013,Historical,0,0,1,0,0
9,9,8,0-200,1997,1997,1997,1900-present,ofp,1996 A.D.,1996 A.D.,23,28,evnt,evnt,0.5,0.764966667,26.186992,73.686893,0.126115,2.57,5.7,12.58,0,0.94538525,0.05461475,0,0,0.94538525,0.05461475,0,0,0,0,7.584305,0.039288,0,0,0.531852746,0.305685688,0.192866196,0.305685688,0.118255366,0.659339379,0.140192686,1.748011599,14.54674218,0.068743914,-25.79231735,2.094953952,-25.79231735,2.094953952,0,1.610149897,0.083417714,-26.3626558,2.359147762,0.705049916,-2.20840121,-0.291590141,-1.337053252,0.069812075,4.49089109,0.665101689,0.233399755,0.034925288,-0.171812584,3.134111777,-0.803135108,-0.247602032,-0.146209389,0.238486101,0.362582462,1,-0.430585816,,,0.012987013,Historical,0,0,1,0,0
10,10,9,0-200,1997,1997,1997,1900-present,ofp,1996 A.D.,1996 A.D.,23,28,evnt,evnt,0.375,0.687875758,13.122397,86.789114,0.088489,3.25,9.83,23.96,0.00529408,0.71754484,0.27716108,0,0.00529408,0.71754484,0.27716108,0,0,0,0,3.3847,0.010549,0,0,0.360170373,0.896715096,0.565764235,0.896715096,0.346896752,0.710663816,0.156485529,2.270570992,16.92807957,0.059073446,-25.99589143,1.592834364,-25.99589143,1.592834364,0,2.289010303,0.06374058,-27.12693755,1.880882207,-0.290628406,0.422496364,1.599376226,-0.627965973,0.034748445,3.897282278,0.908607998,0.239759698,0.060768494,-0.087316759,-2.690811474,-1.00798972,-0.123573672,-0.257614839,0.254349728,0.286547949,1,-0.430585816,,,0.012987013,Historical,0,0,1,0,0
